F1	F2	F3	F4	F5	F6	F7	F8	SVM
0.110	0.533	0.001	0.686	0.545	0.838	0.976	0.006	0.476
0.077	0.561	0.001	0.685	0.546	0.826	0.970	0.007	0.853
0.099	0.533	0.001	0.685	0.546	0.833	0.971	0.006	0.511
0.077	0.564	0.001	0.690	0.546	0.835	0.980	0.006	0.916
0.082	0.568	0.001	0.690	0.547	0.835	0.974	0.007	0.857
0.077	0.565	0.001	0.692	0.547	0.840	0.972	0.006	0.865
0.092	0.569	0.001	0.688	0.546	0.819	0.973	0.006	0.790
0.105	0.552	0.001	0.685	0.546	0.830	0.976	0.006	0.614
0.105	0.569	0.001	0.686	0.542	0.841	0.969	0.006	0.616
0.106	0.544	0.001	0.693	0.546	0.845	0.979	0.006	0.581
0.082	0.577	0.001	0.687	0.544	0.850	0.971	0.006	0.847
0.089	0.566	0.001	0.686	0.549	0.826	0.976	0.007	0.812
0.130	0.527	0.001	0.688	0.546	0.838	0.979	0.006	0.369
0.112	0.537	0.001	0.689	0.542	0.846	0.975	0.006	0.461
0.035	0.592	0.001	0.685	0.549	0.818	0.977	0.006	1.279
0.099	0.549	0.001	0.686	0.544	0.844	0.976	0.006	0.619
0.108	0.547	0.001	0.690	0.547	0.840	0.968	0.006	0.468
0.086	0.586	0.001	0.694	0.546	0.847	0.969	0.006	0.846
0.114	0.530	0.001	0.682	0.543	0.833	0.971	0.006	0.385
0.100	0.550	0.001	0.688	0.545	0.835	0.972	0.006	0.598
0.107	0.543	0.001	0.688	0.543	0.839	0.970	0.006	0.479
0.064	0.598	0.001	0.690	0.544	0.843	0.969	0.006	1.075
0.083	0.573	0.001	0.688	0.549	0.822	0.977	0.006	0.902
0.102	0.569	0.001	0.685	0.545	0.839	0.973	0.007	0.683
0.069	0.587	0.001	0.693	0.547	0.843	0.973	0.006	1.025
0.095	0.562	0.001	0.682	0.544	0.838	0.971	0.006	0.681
0.087	0.552	0.001	0.686	0.547	0.834	0.967	0.006	0.664
0.087	0.591	0.001	0.689	0.545	0.833	0.972	0.006	0.905
0.101	0.550	0.001	0.689	0.542	0.856	0.974	0.006	0.583
0.067	0.572	0.001	0.697	0.546	0.854	0.971	0.006	0.959
0.061	0.566	0.001	0.690	0.542	0.840	0.976	0.007	1.029
0.118	0.551	0.001	0.690	0.543	0.855	0.972	0.006	0.447
0.068	0.594	0.001	0.687	0.543	0.846	0.970	0.006	1.035
0.090	0.543	0.001	0.691	0.541	0.851	0.974	0.006	0.650
0.076	0.574	0.001	0.686	0.544	0.844	0.967	0.006	0.863
0.074	0.541	0.001	0.686	0.547	0.833	0.976	0.006	0.822
0.091	0.577	0.001	0.692	0.544	0.841	0.968	0.006	0.760
0.087	0.578	0.001	0.685	0.543	0.837	0.975	0.006	0.856
0.110	0.536	0.001	0.690	0.542	0.848	0.974	0.006	0.455
0.098	0.513	0.001	0.693	0.547	0.845	0.974	0.006	0.438
0.064	0.598	0.001	0.694	0.549	0.844	0.967	0.006	1.066
0.083	0.563	0.001	0.691	0.544	0.836	0.975	0.006	0.834
0.054	0.594	0.001	0.682	0.545	0.823	0.968	0.006	1.154
0.081	0.572	0.001	0.691	0.549	0.843	0.969	0.006	0.832
