F1	F2	F3	F4	F5	F6	F7	F8	SVM
0.000	0.026	0.000	0.243	0.180	0.739	0.986	0.114	0.635
0.000	0.027	0.000	0.253	0.188	0.741	0.982	0.109	0.704
0.000	0.030	0.000	0.253	0.187	0.740	0.982	0.095	0.768
0.000	0.028	0.000	0.253	0.187	0.740	0.981	0.107	0.730
0.000	0.029	0.000	0.253	0.187	0.738	0.981	0.108	0.729
0.000	0.028	0.000	0.250	0.185	0.741	0.983	0.107	0.708
0.000	0.029	0.000	0.259	0.191	0.737	0.983	0.111	0.696
0.000	0.027	0.000	0.252	0.186	0.739	0.983	0.113	0.681
0.000	0.028	0.000	0.247	0.183	0.741	0.983	0.103	0.726
0.000	0.028	0.000	0.252	0.185	0.734	0.985	0.105	0.697
0.000	0.026	0.000	0.255	0.189	0.741	0.985	0.109	0.662
0.000	0.028	0.000	0.255	0.188	0.738	0.982	0.099	0.744
0.000	0.027	0.000	0.251	0.187	0.745	0.985	0.108	0.671
0.000	0.027	0.000	0.249	0.184	0.741	0.984	0.098	0.724
0.000	0.028	0.000	0.246	0.182	0.740	0.984	0.105	0.701
0.000	0.027	0.000	0.248	0.184	0.741	0.983	0.099	0.730
0.000	0.025	0.000	0.248	0.184	0.741	0.986	0.121	0.595
0.000	0.028	0.000	0.248	0.184	0.739	0.983	0.101	0.736
0.000	0.027	0.000	0.254	0.189	0.742	0.985	0.106	0.683
0.000	0.027	0.000	0.248	0.183	0.737	0.983	0.114	0.670
0.000	0.026	0.000	0.249	0.184	0.737	0.983	0.110	0.690
0.000	0.026	0.000	0.257	0.190	0.739	0.983	0.114	0.666
0.000	0.029	0.000	0.251	0.185	0.740	0.983	0.098	0.738
0.000	0.027	0.000	0.258	0.190	0.737	0.985	0.107	0.671
0.000	0.027	0.000	0.256	0.189	0.737	0.985	0.109	0.664
0.000	0.027	0.000	0.250	0.184	0.737	0.984	0.098	0.722
0.000	0.030	0.000	0.247	0.181	0.735	0.983	0.100	0.749
0.000	0.029	0.000	0.260	0.193	0.741	0.983	0.100	0.732
0.000	0.030	0.000	0.256	0.189	0.739	0.982	0.092	0.779
0.000	0.032	0.000	0.248	0.184	0.741	0.982	0.090	0.790
0.000	0.027	0.000	0.255	0.189	0.740	0.985	0.106	0.680
0.000	0.030	0.000	0.251	0.185	0.736	0.981	0.106	0.742
0.000	0.028	0.000	0.245	0.180	0.736	0.983	0.106	0.707
0.000	0.030	0.000	0.250	0.186	0.745	0.982	0.102	0.758
0.000	0.030	0.000	0.251	0.186	0.741	0.982	0.096	0.767
0.000	0.029	0.000	0.249	0.184	0.738	0.983	0.101	0.729
0.000	0.028	0.000	0.253	0.186	0.737	0.985	0.096	0.725
0.000	0.030	0.000	0.247	0.183	0.740	0.981	0.102	0.763
0.000	0.029	0.000	0.245	0.182	0.743	0.982	0.099	0.759
0.000	0.028	0.000	0.251	0.186	0.739	0.984	0.099	0.727
0.000	0.026	0.000	0.250	0.185	0.740	0.985	0.119	0.626
0.000	0.029	0.000	0.250	0.184	0.735	0.984	0.097	0.733
0.000	0.026	0.000	0.247	0.182	0.738	0.984	0.102	0.703
0.000	0.025	0.000	0.244	0.181	0.743	0.985	0.109	0.667
0.000	0.028	0.000	0.246	0.182	0.741	0.985	0.103	0.703
0.000	0.028	0.000	0.252	0.187	0.740	0.984	0.101	0.722
0.000	0.028	0.000	0.245	0.182	0.740	0.984	0.109	0.684
0.000	0.029	0.000	0.256	0.188	0.734	0.983	0.100	0.741
0.000	0.027	0.000	0.256	0.188	0.737	0.983	0.111	0.691
0.000	0.031	0.000	0.248	0.183	0.738	0.983	0.097	0.762
0.000	0.026	0.000	0.251	0.187	0.744	0.983	0.115	0.661
0.000	0.028	0.000	0.245	0.180	0.736	0.983	0.102	0.733
0.000	0.026	0.000	0.257	0.189	0.737	0.983	0.114	0.668
0.000	0.026	0.000	0.253	0.186	0.737	0.983	0.110	0.681
0.000	0.029	0.000	0.257	0.189	0.738	0.981	0.099	0.773
0.000	0.027	0.000	0.246	0.182	0.739	0.983	0.101	0.724
0.000	0.028	0.000	0.255	0.188	0.735	0.982	0.113	0.689
0.000	0.030	0.000	0.249	0.186	0.744	0.981	0.103	0.764
0.000	0.030	0.000	0.261	0.194	0.743	0.983	0.098	0.746
